Tipo_Muerte,Zona,Subzona,Distrito,Circuito,Cod._Subcircu,Subcircuito,Codigo_Provincia,Codigo_Provincia_2,Codigo_Canton,Codigo_Canton_2,Coord_Y,Coord_X,Coord_Y_Rev,Coord_X_Rev,Area_Hecho,Lugar,Tipo_Lugar,Fecha_Infraccion,Hora_Infraccion,Arma,Tipo_Arma,Presunta_Motivacion,Presunta_Motivacion_Obs,Probable_Causa,Edad,Medida_Edad,Sexo,Genero,Etnia,Estado_Civil,Nacionalidad,Discapacidad,Profesion,Instruccion,Antecedentes,Anio_i,Mes_i,Hora,Rango_Edad,Mecanismo,Parroquia,Dia_Semana
ASESINATO,ZONA 8,D.M. GUAYAQUIL,ESTEROS,TRINITARIA SUR,09D02C05S05,TRINITARIA SUR 5,GUAYAS,9,GUAYAQUIL,901,-2.23533,-79.93585,"-2,23533",-79.93585,URBANO,VÍA PÚBLICA,PÚBLICO,2024-01-01,02:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,22,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER CIENCIAS,SIN_DATO,SI,2024,1,2,18-26,Arma de Fuego,TRINITARIA SUR,Monday
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR - DMG,UNIÓN DE BANANEROS,09D01C02S03,UNIÓN DE BANANEROS 3,GUAYAS,9,GUAYAQUIL,901,-2.26055,-79.88378,"-2,26055",-79.88378,URBANO,VÍA PÚBLICA,PÚBLICO,2024-01-01,02:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,45,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,TRABAJADOR GENERAL,PRIMARIA,SI,2024,1,2,36-45,Arma de Fuego,UNIÓN DE BANANEROS,Monday
ASESINATO,ZONA 8,D.M. GUAYAQUIL,FLORIDA,FLORIDA,09D06C05S01,FLORIDA 1,GUAYAS,9,GUAYAQUIL,901,-2.13557,-79.94668,"-2,13557",-79.94668,URBANO,VÍA PÚBLICA,PÚBLICO,2024-01-01,02:32:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,23,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO,SI,2024,1,2,18-26,Arma de Fuego,FLORIDA,Monday
ASESINATO,ZONA 8,D.M. GUAYAQUIL,ESTEROS,TRINITARIA SUR,09D02C05S03,TRINITARIA SUR 3,GUAYAS,9,GUAYAQUIL,901,-2.24167,-79.92401,"-2,24167",-79.92401,URBANO,VÍA PÚBLICA,PÚBLICO,2024-01-01,04:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRÁFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,24,A,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,BACHILLERATO,SI,2024,1,4,18-26,Arma de Fuego,TRINITARIA SUR,Monday
ASESINATO,ZONA 8,D.M. GUAYAQUIL,ESTEROS,TRINITARIA SUR,09D02C05S03,TRINITARIA SUR 3,GUAYAS,9,GUAYAQUIL,901,-2.24167,-79.92401,"-2,24167",-79.92401,URBANO,VÍA PÚBLICA,PÚBLICO,2024-01-01,04:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRÁFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO,SI,2024,1,4,18-26,Arma de Fuego,TRINITARIA SUR,Monday
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR - DMG,FLORESTA,09D01C03S01,FLORESTA 1,GUAYAS,9,GUAYAQUIL,901,-2.25499,-79.87718,"-2,25499",-79.87718,URBANO,CASA/VILLA,PRIVADO,2024-01-01,05:16:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,18,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO,SI,2024,1,5,18-26,Arma de Fuego,FLORESTA,Monday
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR - DMG,FLORESTA,09D01C03S01,FLORESTA 1,GUAYAS,9,GUAYAQUIL,901,-2.25499,-79.87718,"-2,25499",-79.87718,URBANO,CASA/VILLA,PRIVADO,2024-01-01,05:16:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,17,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO,SI,2024,1,5,12-17,Arma de Fuego,FLORESTA,Monday
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR - DMG,GUASMO,09D01C01S03,GUASMO 3,GUAYAS,9,GUAYAQUIL,901,-2.27661,-79.8952,"-2,27661",-79.8952,URBANO,VÍA PÚBLICA,PÚBLICO,2024-01-01,06:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,18,A,HOMBRE,MASCULINO,MULATO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO,SI,2024,1,6,18-26,Arma de Fuego,GUASMO,Monday
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PROGRESO,PROGRESO,09D10C03S01,PROGRESO 1,GUAYAS,9,GUAYAQUIL,901,-2.45862,-80.28356,"-2,45862",-80.28356,URBANO,VÍA PÚBLICA,PÚBLICO,2024-01-01,07:00:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,49,A,HOMBRE,MASCULINO,MESTIZO/A,CASADO,ECUADOR,NINGUNA,AYUDANTE/JORNALERO,SIN_DATO,SI,2024,1,7,46-60,Arma de Fuego,PROGRESO,Monday
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,FLOR DE BASTIÓN,09D08C04S08,FLOR DE BASTIÓN 8,GUAYAS,9,GUAYAQUIL,901,-2.0939,-79.9588,"-2,0939",-79.9588,URBANO,VÍA PÚBLICA,PÚBLICO,2024-01-01,10:15:00,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,38,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,TRABAJADOR GENERAL,SIN_DATO,SI,2024,1,10,36-45,Arma Blanca,FLOR DE BASTIÓN,Monday
