Parroquia,count,lat,lon,Z_Score,Spatial_Lag,LISA_Cluster
7 LAGOS,110,-2.2483333636363634,-79.88542881818182,0.46371892400639236,0.0925359840938614,High-High (Hotspot)
9 DE OCTUBRE,43,-2.184963953488372,-79.8825388372093,-0.6507823791908465,-0.32975599419472656,Low-Low (Coldspot)
ALBORADA,23,-2.138133043478261,-79.90218260869565,-0.9834693353691268,-0.17196623672412156,Low-Low (Coldspot)
ANTEPARA,77,-2.211111948051948,-79.90904363636363,-0.08521455368777009,-0.13615529511860625,Low-Low (Coldspot)
ATARAZANA,22,-2.1627627272727272,-79.88674727272728,-1.0001036831780408,-0.23205266541316621,Low-Low (Coldspot)
BASTIÓN POPULAR NORTE,89,-2.0835247191011237,-79.9300279775281,0.11439762001919807,0.19226550752872287,High-High (Hotspot)
BASTIÓN POPULAR SUR,62,-2.0973258064516127,-79.92740435483871,-0.33472977082148025,0.05703128076020818,Low-High (Outlier)
BATALLÓN DEL SUBURBIO,121,-2.2162637190082646,-79.94177429752067,0.6466967499044465,0.04500610504891971,High-High (Hotspot)
BELLAVISTA,41,-2.1921482926829268,-79.91347073170732,-0.6840510748086746,-0.18375488191115896,Low-Low (Coldspot)
CENTENARIO,43,-2.2264309302325582,-79.8917011627907,-0.6507823791908465,-0.02291446776076435,Low-Low (Coldspot)
CHALA,36,-2.205128333333333,-79.91872916666667,-0.7672228138532446,-0.06887033266179675,Low-Low (Coldspot)
CHILE,33,-2.201857878787879,-79.88838787878788,-0.8171258572799867,-0.22968268224495525,Low-Low (Coldspot)
CHONGON,33,-2.234689090909091,-80.08049575757576,-0.8171258572799867,0.0928191600687056,Low-High (Outlier)
CISNE,122,-2.2197158196721314,-79.923985,0.6633310977133605,-0.005483405035701344,High-Low (Outlier)
CRISTO DEL CONSUELO,92,-2.2188046739130436,-79.90879152173913,0.1643006634459401,-0.08444277569945086,High-Low (Outlier)
ESTEROS,93,-2.2494890322580647,-79.90521784946237,0.18093501125485412,0.09628657567172,High-High (Hotspot)
FLOR DE BASTIÓN,144,-2.0898438194444444,-79.962808125,1.0292867495094689,0.37216153133717056,High-High (Hotspot)
FLORESTA,109,-2.257639633027523,-79.8845104587156,0.4470845761974783,0.19726326195899446,High-High (Hotspot)
FLORIDA,77,-2.1304944155844154,-79.9405244155844,-0.08521455368777009,0.06383150834232292,Low-High (Outlier)
FORTIN,182,-2.112666868131868,-79.95629032967034,1.6613919662482013,0.2973803489086192,High-High (Hotspot)
GARAY,73,-2.1956623287671233,-79.8995601369863,-0.15175194492342614,-0.2879492532261122,Low-Low (Coldspot)
GUASMO,226,-2.277426061946903,-79.8840039380531,2.393303269840418,0.06571724759276722,High-High (Hotspot)
GUAYACANES,12,-2.115518333333333,-79.8921125,-1.166447161267181,-0.12356222037776907,Low-Low (Coldspot)
JUAN MONTALVO,98,-2.122959387755102,-79.92069428571429,0.2641067502994242,-0.13774922354918048,High-Low (Outlier)
KENNEDY,28,-2.1787385714285716,-79.8920242857143,-0.9002975963245567,-0.28657383193434804,Low-Low (Coldspot)
LOS CEIBOS,29,-2.1476075862068966,-79.96093137931034,-0.8836632485156427,0.13203733188965774,Low-High (Outlier)
MALVINAS NORTE,69,-2.2265582608695653,-79.90953391304348,-0.2182893361590822,0.021376117656663186,Low-High (Outlier)
MALVINAS SUR,85,-2.233933529411765,-79.90790376470589,0.047860228783542014,0.02171230526100444,High-High (Hotspot)
MAPASINGUE,24,-2.150506666666667,-79.93755666666667,-0.9668349875602128,-0.01773871717269278,Low-Low (Coldspot)
MARTHA DE ROLDÓS,84,-2.1516152380952382,-79.92367321428571,0.031225880974628,-0.17421195448568963,High-Low (Outlier)
MONTE BELLO,25,-2.097104,-79.9417196,-0.9502006397512988,0.2721853335872652,Low-High (Outlier)
MONTE SINAÍ,122,-2.122064016393443,-79.98979385245902,0.6633310977133605,0.23392634330981396,High-High (Hotspot)
MORRO,21,-2.615140476190476,-80.33175523809524,-1.016738030986955,0.07353555414009824,Low-High (Outlier)
MUCHO LOTE,32,-2.088694375,-79.917960625,-0.8337602050889007,0.13797739162383627,Low-High (Outlier)
NUEVA PROSPERINA,208,-2.126300576923077,-79.96268403846155,2.0938850092799655,0.15270701324362498,High-High (Hotspot)
NUEVO GUAYAQUIL,147,-2.108750544217687,-79.97134653061225,1.0791897929362109,0.4179937907139992,High-High (Hotspot)
ORQUÍDEAS,123,-2.0867284552845526,-79.90300422764227,0.6799654455222746,-0.05245606461666649,High-Low (Outlier)
PARAÍSO LA FLOR,215,-2.100975720930233,-79.96183632558139,2.210325443942364,0.3082811424438667,High-High (Hotspot)
PASCUALES,217,-2.072353271889401,-79.93042774193547,2.2435941395601917,0.04328815207788377,High-High (Hotspot)
